week,n_samples,alpha,other,delta,beta,voi,gamma,omicron
2020-11-01,1746,0.001,0.999,0,0,0,0,0
2020-11-08,1647,0.001,0.999,0,0,0,0,0
2020-11-15,1038,0,0.999,0.001,0,0,0,0
2020-11-22,1311,0,1,0,0,0,0,0
2020-11-29,1225,0.002,0.998,0,0,0,0,0
2020-12-06,1128,0,1,0,0,0,0,0
2020-12-13,1366,0.004,0.991,0,0.001,0.004,0,0
2020-12-20,1105,0.006,0.989,0,0.005,0,0,0
2020-12-27,1667,0.014,0.983,0,0.002,0.001,0,0
2021-01-03,2074,0.017,0.975,0,0.007,0.001,0,0
2021-01-10,2551,0.03,0.958,0,0.009,0.002,0.001,0
2021-01-17,2513,0.06,0.934,0,0.005,0.001,0,0
2021-01-24,2060,0.088,0.902,0.001,0.007,0.002,0,0
2021-01-31,1780,0.168,0.816,0,0.009,0.004,0.003,0
2021-02-07,2779,0.269,0.696,0,0.017,0.012,0.006,0
2021-02-14,2929,0.304,0.652,0,0.011,0.018,0.015,0
2021-02-21,3256,0.353,0.582,0,0.017,0.022,0.025,0
2021-02-28,3700,0.424,0.504,0,0.008,0.034,0.03,0
2021-03-07,4044,0.388,0.512,0,0.008,0.034,0.058,0
2021-03-14,4459,0.474,0.395,0,0.015,0.022,0.094,0
2021-03-21,6655,0.459,0.281,0.001,0.019,0.055,0.186,0
2021-03-28,5823,0.408,0.257,0.001,0.02,0.077,0.238,0
2021-04-04,7472,0.37,0.271,0.005,0.027,0.069,0.258,0
2021-04-11,7394,0.507,0.174,0.015,0.015,0.054,0.235,0
2021-04-18,6494,0.553,0.163,0.036,0.013,0.04,0.196,0
2021-04-25,7678,0.528,0.132,0.049,0.016,0.04,0.235,0
2021-05-02,6124,0.599,0.095,0.049,0.009,0.04,0.208,0
2021-05-09,4792,0.595,0.066,0.076,0.008,0.026,0.229,0
2021-05-16,4360,0.56,0.052,0.1,0.01,0.031,0.247,0
2021-05-23,3278,0.576,0.037,0.131,0.006,0.032,0.217,0
2021-05-30,3382,0.575,0.027,0.159,0.009,0.024,0.206,0
2021-06-06,3562,0.522,0.044,0.236,0.006,0.042,0.149,0
2021-06-13,3249,0.44,0.048,0.351,0.004,0.037,0.121,0
2021-06-20,2926,0.426,0.045,0.382,0.008,0.04,0.098,0
2021-06-27,1650,0.27,0.014,0.575,0.007,0.029,0.105,0
2021-07-04,1513,0.212,0.027,0.638,0.005,0.013,0.106,0
2021-07-11,1497,0.138,0.011,0.715,0.002,0.049,0.085,0
2021-07-18,2273,0.072,0.003,0.841,0.002,0.038,0.044,0
2021-07-25,3483,0.045,0.002,0.906,0.001,0.026,0.02,0
2021-08-01,5118,0.023,0.007,0.925,0,0.032,0.013,0
2021-08-08,7047,0.019,0.004,0.932,0,0.039,0.006,0
2021-08-15,8547,0.009,0,0.963,0,0.024,0.004,0
2021-08-22,8599,0.004,0,0.972,0,0.021,0.003,0
2021-08-29,7811,0.006,0,0.99,0,0.002,0.002,0
2021-09-05,6488,0.004,0,0.992,0,0.003,0.001,0
2021-09-12,3998,0.002,0.001,0.996,0,0,0.001,0
2021-09-19,3639,0.003,0,0.997,0,0,0,0
2021-09-26,4378,0.001,0,0.999,0,0,0,0
2021-10-03,5805,0.001,0,0.999,0,0,0,0
2021-10-10,4647,0.001,0,0.999,0,0,0,0
2021-10-17,4796,0,0,1,0,0,0,0
2021-10-24,3745,0,0,1,0,0,0,0
2021-10-31,4427,0,0,1,0,0,0,0
2021-11-07,4154,0,0,1,0,0,0,0
2021-11-14,4793,0,0,1,0,0,0,0
2021-11-21,4130,0,0,0.996,0,0,0,0.004
